countries,Livestock_prior,Waste_prior,Oil-Gas_prior,Rice_prior,Coal_prior,Reservoirs_prior,Other_prior,BiomassBurn_prior,Wetlands_prior,Termites_prior,Seeps_prior,AnthroTotal_prior,Total_prior,Livestock_post,Waste_post,Oil-Gas_post,Rice_post,Coal_post,Reservoirs_post,Other_post,BiomassBurn_post,Wetlands_post,Termites_post,Seeps_post,AnthroTotal_post,Total_post,Livestock_post_min,Waste_post_min,Oil-Gas_post_min,Rice_post_min,Coal_post_min,Reservoirs_post_min,Other_post_min,BiomassBurn_post_min,Wetlands_post_min,Termites_post_min,Seeps_post_min,AnthroTotal_post_min,Total_post_min,Livestock_post_max,Waste_post_max,Oil-Gas_post_max,Rice_post_max,Coal_post_max,Reservoirs_post_max,Other_post_max,BiomassBurn_post_max,Wetlands_post_max,Termites_post_max,Seeps_post_max,AnthroTotal_post_max,Total_post_max,sensitivity
Guyana,0.01654407470631796,0.0038870451698980847,0.04800642170802176,0.023696638811883924,0.0,0.0,0.0014635146735776444,0.015445345730292777,0.5866535212509637,0.041351256394513605,4.5771996674567624e-05,0.09359769506969938,0.7370935904421441,0.024758621568411215,0.008707836159466485,0.03896548496994104,0.04461893783198681,0.0,0.0,0.0023662366073925775,0.023520544168989972,0.8859809801277624,0.04669254447729207,6.408620907356149e-05,0.11941711713719813,1.075675272120316,0.005021896157616595,0.003994906358678487,0.012122212383319824,0.01674925931422288,0.0,0.0,0.0006878348129606131,0.00538370294590974,0.16949854376242401,0.005103559347782803,7.70090226782336e-06,0.01895351258609873,0.1989445298266822,0.0074949552814621845,0.006102158522684387,0.016089966461510105,0.0255748051372192,0.0,0.0,0.001043197451073983,0.009114675230579641,0.3411000857597065,0.01960009281978234,4.6435908952872576e-05,0.02809290400911993,0.3762403794761078,0.15328250534624
Haiti,0.13561645978331457,0.006673614339108718,1.6388612182417832e-05,0.022478134551564027,0.0,0.0,0.028685987820754707,0.00020881948358576508,0.011655268664266479,0.0023213002325960393,0.0005246777525645147,0.19347058510692444,0.20818065123993723,0.15255538402397337,0.008065226235066204,2.022659181612872e-05,0.026818074469202115,0.0,0.0,0.03327209132957442,0.0002629910628673975,0.014692777358514106,0.0015138218132839981,0.0006352698874614331,0.22073100264963225,0.23783586277175917,0.00886344737866071,0.0007910922113788408,2.210184702546837e-06,0.0024436794070884435,0.0,0.0,0.002557806708932242,3.164134175123674e-05,0.0017677375976459884,0.00010014315968856578,7.379978024690619e-05,0.014658235890762789,0.01663155777009548,0.005202145400861197,0.00042313642518711225,1.2780532848849343e-06,0.0012278880366766616,0.0,0.0,0.0013427398298037144,1.9599429820434642e-05,0.001083927982846235,0.0010273923456585233,6.103475405444276e-05,0.008137983993120934,0.009047654758033874,0.3311221055625304
Honduras,0.10320421505256769,0.04635886902506081,1.3375656768953182e-05,0.0012903736155256273,0.0,0.01927629751269222,0.024488212726869914,0.0007991421885457205,0.07480205847208336,0.016898916459596167,0.0013397319396762902,0.1946313435894852,0.28847119264938675,0.15140046099686652,0.07361318588195565,3.0209801926716138e-05,0.0016526217743555633,0.0,0.043716218087897656,0.03664400101819122,0.0009711042248579317,0.0839432627444707,0.019498527535092916,0.0012646746762582338,0.3070566975611933,0.412734266741873,0.030476113302812885,0.01703231755599885,1.0248107427927855e-05,0.00023821189938541803,0.0,0.014875773832673626,0.007641881442718955,0.00011598402630422948,0.006765321176852523,0.002788006764943861,0.0,0.07027454614101764,0.07782325655906697,0.006948211151355771,0.002304430261240123,1.2046452314677364e-06,6.329319081832346e-05,0.0,0.0017412438088867874,0.0013694511057745495,8.17849506136233e-05,0.0021403604382152636,0.002163304012761255,0.0001151034298583647,0.012427834163307061,0.01598837773684153,0.3328165155557176
Hungary,0.11150154057396901,0.12835719892701208,0.059829419425276816,0.0,0.0012663799378570533,0.011187663932854532,0.023461401930056608,0.00023153394698070852,0.018526228017125435,0.00723234666698035,0.002804479752474064,0.3356036047270261,0.3643981931105867,0.2822587547850385,0.20473833319308732,0.11636139420204707,0.0,0.0036856059666414203,0.012641579245926049,0.0383082276692542,0.0006527676906562543,0.04377566448045342,0.017180314442980314,0.00576348076380962,0.6579938950619946,0.7253661224398942,0.07142436130893157,0.028120972347577766,0.022430456765164655,0.0,0.001482054149260972,0.0013094953708558382,0.005077692706930127,0.00020653638661520692,0.011092088953204973,0.004136843144747599,0.0008814764220551304,0.12693114510787418,0.14324809001449712,0.006034710755467132,0.00038329079814783396,0.0030753774959870056,0.0,0.0005738913057234127,0.0028190451158178094,0.0003877208442345237,4.3103070417217044e-05,0.0010309692823388533,0.0002742950319048962,0.0003046696826140907,0.012700916464147283,0.014353953531422325,0.6089863632112956
Iceland,0.014340953353949538,0.009096823588111223,1.779218532235428e-05,0.0,0.0,0.006560400848280748,0.000646206027078379,0.001306822104451871,0.10160368770745945,0.0,0.0010482937271170149,0.030662176002742243,0.13462097954177057,0.011136449410634807,0.0059034645225437485,1.1999615623447204e-05,0.0,0.0,0.008803479077500587,0.00037921441794259086,0.000795753267314639,0.07416449128137467,0.0,0.0008734657194403769,0.02623460704424518,0.10206831731237487,0.00294350420149553,0.003283905173335556,5.982409537638966e-06,0.0,0.0,0.0018710288606462594,8.803566567834549e-05,0.0005290129057059548,0.026130433079362574,0.0,1.6720006126080562e-05,0.0054456808569266525,0.03203956035280291,0.03731781480841641,0.0014566681088781204,4.7177929736761455e-06,0.0,0.0,0.06842786555174518,0.00011454431349521168,0.00023365753979734665,0.14570709484186722,0.0,0.004727500023928668,0.10477639810223349,0.25494903038319566,0.3558091239770236
India,10.73865696600433,2.8493997562156133,0.8744745661425222,3.3954375490943485,0.8990183329708555,1.24462412845423,2.0640270170225246,0.09703563954081164,9.154231654658787,0.37470004612562124,0.005599732969387414,22.065638315904422,31.69720538919903,8.228886933871733,6.067455104074908,1.8404635508879357,4.88017916849344,1.5040800721961554,1.6164860281029754,3.9392295161571114,0.23006346276848028,12.049705158972083,0.6907952830075359,0.012918858220360934,28.076780373784263,41.060263136752724,1.4361888097522417,1.229514311577975,0.3806777973362854,0.4633117342526827,0.22962725049187682,0.07639892390475822,0.761659065087787,0.057862812173377354,1.4467378507164792,0.11626328253968787,0.00439507008603437,4.254203095881071,5.879462111396656,0.1372832417751173,0.14993291475713377,0.05807980686324932,0.03272629233642199,0.06365901384901429,0.24677587261778355,0.18067970224812635,0.003194933163993635,0.10943790247671714,0.027098961402832744,0.00039368702857107973,0.5459620479242986,0.6860875319964066,0.9941856335923692
Indonesia,0.6926066193898117,7.466687350055209,0.5372545433687368,1.6659011595656559,0.11713585037860419,0.09182538127986495,0.43439862907058846,0.85059841741025,9.062148036903185,0.2907516426366927,0.053224068886691914,11.005809533108472,21.262531698945292,0.6267752685056824,5.7147268859462335,1.067313131429562,2.0740410183164166,0.174790954417674,0.0597251291338535,0.5971458865915787,0.7852064764072179,13.35167433543429,0.25556404278329237,0.06607236858041776,10.314518274341001,24.773035497546218,0.11283564851491101,1.0913365269414141,0.29876604596632983,0.4380121768137113,0.03666702112608758,0.005280588447900837,0.16568345920562666,0.15813614582771274,3.628190196873854,0.039470467159666484,0.011178554922927887,2.1426791559631813,5.780570667267842,0.11184442107507131,0.3491151877976888,0.08901128320043639,0.10172101193715521,0.027344324039338147,0.003304895026129892,0.08909019169775301,0.016816420184780356,1.422398238987844,0.09247334425227371,0.01968377987836567,0.7663500992153427,2.2509286539983258,0.8351652375691859
Iran,0.8383513107004085,0.8957431384789298,2.9818417963664463,0.061605667132121227,0.01996717193120441,0.3947970315268882,0.13193420958917268,0.001468976744594068,0.02625335395460263,0.15521627619872,0.014095383787482563,5.324240325725172,5.5212743164105715,2.12270845040004,2.400915390851062,2.510784311166255,0.23491573534266583,0.027061612321889153,0.20002393218994308,0.4868483450216348,0.0025619293236069127,0.16648756221655678,1.0381201781769391,0.0926758827822275,7.98325777729349,9.28310332979282,0.8626448262781172,0.5222831293766528,0.4509496073998611,0.08703324898921797,0.007730380598038586,0.005173306937287098,0.23928835488287623,0.0004409157346231675,0.12840185119566405,0.7724463363880798,0.07256841526865475,2.047798650786773,3.021537147451702,0.1144724512181674,0.06648412325374453,0.10499731421432923,0.0,0.03326774165415907,0.0957161474410454,0.013012922508304159,0.00017904845999270908,0.01499877976933589,0.07762679161735053,0.0018432776596888911,0.25979988787482533,0.3505822905800109,0.8892396355085866
Iraq,0.1183155930778092,0.16299895506096632,2.6960863105422437,0.0,0.0,0.14120201251712838,0.013088228916195857,0.0006883712004481721,0.011754622280191486,0.022153557178262322,0.0053315033174084975,3.1316911001143435,3.171619154090654,0.28193388856689305,0.2871161647034809,1.3097802184150247,0.0,0.0,0.19975636899899946,0.029058901058692237,0.0008642424177544306,0.015125432987538774,0.04883909934519247,0.004426501055178048,2.10764554174309,2.176900817548754,0.13653428515432073,0.10260324550525785,0.1655670948332426,0.0,0.0,0.012545672203749109,0.013385170276574217,0.00012093091392300867,0.0023540513602346765,0.02342002237298462,0.0,0.2763000599663614,0.2911899361421413,0.09749153241746944,0.0,0.3524088215466059,0.0,0.0,0.03533848189201655,0.0,0.00013094499753270935,0.005529617489437148,0.023600862961801486,0.0008324097307648853,0.25878555501357514,0.23578297999458098,0.9203260099435951
Ireland,0.5940435161181422,0.029937541796406605,0.0030681040881131816,0.0,0.0,0.00859796537640242,0.012099181859010811,1.1839079551460452e-05,0.07434610657677897,0.007665369325203875,0.00026470513389062944,0.6477463092380753,0.7300343293535003,0.29931792437901217,0.016134619201562773,0.001658817571827738,0.0,0.0,0.004215334476001244,0.0064124675465966514,6.3637090032992215e-06,0.034541188036398766,0.001954325026039156,0.0001444627215385613,0.32773916317500057,0.36438550266798037,0.18338244790732505,0.008012353068036129,0.0007611671905912954,0.0,0.0,0.0033004984899934944,0.0032714067566142766,1.519472674730882e-06,0.0875619910434914,0.0003285370596574459,1.7758837700328743e-05,0.19872787341256024,0.2844554536033731,0.0903354795454957,0.004479978615307082,0.00045658431788433485,0.0,0.0,0.001360906122865417,0.0017875101629735053,1.7028538287687858e-06,0.013461224017769488,0.0028796675650921326,3.47138818934359e-05,0.09842045876452604,0.11252149833029879,0.615722228312163
