countries,Livestock_prior,Waste_prior,Oil-Gas_prior,Rice_prior,Coal_prior,Reservoirs_prior,Other_prior,AnthroTotal_prior,Total_prior,Livestock_post,Waste_post,Oil-Gas_post,Rice_post,Coal_post,Reservoirs_post,Other_post,AnthroTotal_post,Total_post,Livestock_post_min,Waste_post_min,Oil-Gas_post_min,Rice_post_min,Coal_post_min,Reservoirs_post_min,Other_post_min,AnthroTotal_post_min,Total_post_min,Livestock_post_max,Waste_post_max,Oil-Gas_post_max,Rice_post_max,Coal_post_max,Reservoirs_post_max,Other_post_max,AnthroTotal_post_max,Total_post_max,sensitivity
Bhutan,0.018060225988919026,0.005847726400955512,0.0001922268468501302,0.0025254023687925637,0.00011209027061557855,0.0,0.01218874518721343,0.03892641706334624,0.03892641706334624,0.03634570045249638,0.011768386078207935,0.0003868511611554262,0.005082301742762034,0.00022557853937889296,0.0,0.024529509306144746,0.07833832728014542,0.07833832728014542,0.0026381095236083646,0.0008541943339624956,2.8079132325347538e-05,0.00036889283911189716,1.637335051046592e-05,0.0,0.0017804453155211009,0.0056860944950396786,0.0056860944950396786,0.021783046883818512,0.0070531397798628305,0.0002318512747201573,0.003045972859568153,0.00013519585090115453,0.0,0.014701256121096816,0.046950462769967644,0.046950462769967644,0.2388319522142412
Bolivia,0.4495833324267388,0.07396339525811998,0.06101003763079628,0.018221807214747143,0.0,0.0001928818496427543,0.012453625942789917,0.6154250803228348,0.6154250803228348,0.26827569811709834,0.0834073263341341,0.09701284600344623,0.057114029746334866,0.0,0.00017925586961354683,0.016013436132322364,0.5220025922029494,0.5220025922029494,0.03029528156808972,0.023270649121182346,0.034296499142191655,0.03912069712561163,0.0,9.338859040154235e-06,0.004649939431742226,0.11604204625698322,0.11604204625698322,0.005872398593048056,0.013544133994818686,0.018108710356434674,0.047314093048034175,0.0,4.488942943521877e-05,0.0008027554661170742,0.06714459197955436,0.06714459197955436,0.807673649052562
Botswana,0.07565159339315332,0.03152651781909797,0.0005542841484680782,0.0,0.025272706897548992,0.0,0.0068775057270999,0.13988260798536828,0.13988260798536828,0.04519743266686716,0.019680748018530106,0.0003377575009269812,0.0,0.015355914864676346,0.0,0.004206080293876553,0.08477793334487714,0.08477793334487714,0.0435803667188841,0.012522230233576043,0.00029521615711470216,0.0,0.012087701775621129,0.0,0.0032714924025848574,0.07175700728778082,0.07175700728778082,0.019232715204067434,0.007721392131517506,0.00013921963236408102,0.0,0.006593071302659414,0.0,0.001725071190118362,0.03541146946072679,0.03541146946072679,0.1981338196617142
Brazil,12.448871996047423,2.889469938941559,0.1894870904218663,0.4645827477966472,0.04519995144156084,4.424255159982669,0.6905675871557839,21.152434471787508,21.152434471787508,10.774749172672983,4.792496811217375,0.17351600074031512,0.5542912971237638,0.05667543823414332,4.253096354209441,1.1854535489987477,21.79027862319677,21.79027862319677,5.038700415832388,0.9754908149911019,0.04594653376401722,0.12583400998217031,0.008838395790227528,0.2191181783897429,0.3310261204395226,6.469424056494011,6.469424056494011,1.0757317579832826,0.4249674248873925,0.0225832872828772,0.05614781888117637,0.006304957684899103,0.013376414070895848,0.18268287451754017,1.5201427035797934,1.5201427035797934,0.9451652271418262
Brunei,0.0006524360123420971,0.013945985473410737,0.10695927918613266,0.0,0.0,0.0,0.0008488451887255909,0.12240654586061107,0.12240654586061107,0.0007849385806214296,0.01677826152417581,0.12868153075620326,0.0,0.0,0.0,0.001011384447394259,0.14725611530839475,0.14725611530839475,6.390406623209201e-05,0.0013659656464476994,0.010476326769135333,0.0,0.0,0.0,8.233966364759636e-05,0.01198853614546272,0.01198853614546272,5.9710065119393204e-05,0.0012763178074462894,0.009788769173548678,0.0,0.0,0.0,8.512453670530976e-05,0.011209921582819693,0.011209921582819693,0.0574129127848416
Bulgaria,0.0743189807025762,0.09665862100606123,0.01122041979529637,0.004318331700693755,0.02689400414084336,0.0057734984167208455,0.07790678050710978,0.29709063626930154,0.29709063626930154,0.1082163697500568,0.1190659037769084,0.01594056594992602,0.007784107645943715,0.04285414961325496,0.009383691337151088,0.09291695508606845,0.39616174315930947,0.39616174315930947,0.020222067791173234,0.010789930773245165,0.0030973579272679137,0.002271708656032531,0.0021652791140999994,0.002270496502368607,0.01026349180996336,0.05007863941863494,0.05007863941863494,0.019483525637424254,0.0161744408702873,0.002935825654743089,0.0015970742796048189,0.0025171232083448514,0.0021408878230740405,0.015384000895607153,0.05769656464980727,0.05769656464980727,0.7449016513893456
Burkina Faso,0.5310544567148096,0.07822332180695873,0.0001196179087689007,0.0,0.0,0.022158099015705184,0.07790421988989582,0.7094597153361382,0.7094597153361382,0.3170314600858407,0.0420068870075275,7.51705403681332e-05,0.0,0.0,0.01239708944016693,0.04453361367588585,0.4160442207497892,0.4160442207497892,0.08965472895957238,0.027615862809125376,1.0601368121463328e-05,0.0,0.0,0.007209208279733977,0.020094702631800326,0.14458005763599713,0.14458005763599713,0.08804149946008166,0.014165254803097688,1.499264077895329e-05,0.0,0.0,0.00402334772005267,0.013552358275554025,0.1197974528995649,0.1197974528995649,0.273608930125606
Burundi,0.046050004927524084,0.0005096027345312241,7.637724592997916e-06,0.005209037346757571,0.0,0.0,0.043859330303350104,0.09563561303675598,0.09563561303675598,0.04979272067744082,0.0004705489053600821,9.977263973075863e-06,0.004936977792657339,0.0,0.0,0.04821692192652188,0.1034271465659532,0.1034271465659532,0.003566222323114508,0.0,1.926774874995123e-06,0.0,0.0,0.0,0.004012578710969279,0.0074208134356228694,0.0074208134356228694,0.023283536645301035,0.000284771877184221,3.7976927289237953e-06,0.002868039116026063,0.0,0.0,0.021908779023424044,0.04834840937709528,0.04834840937709528,0.0552785108561201
Cambodia,0.18679286264255124,0.010242138995204512,0.026134617900399944,0.6836292224249513,0.00034151353174084655,0.11189068498165375,0.053711330279873175,1.0727423707563746,1.0727423707563746,0.3153818211320749,0.014614521826535413,0.037701438605770764,1.4756927540152087,0.0003971831638524302,0.06877255308783642,0.08847910912917485,2.001039380960454,2.001039380960454,0.05876901855005123,0.0017533141770966678,0.008256194814687541,0.42149421449744384,1.7307316195107195e-05,0.050343871894042866,0.01578496984681607,0.4935389457351931,0.4935389457351931,0.03367962572056965,0.0008695837113373642,0.04235154307461159,0.16867578736760303,0.00011734426548162081,0.027243821364857923,0.009595586592246408,0.24074344507638212,0.24074344507638212,0.3721468449456935
Cameroon,0.29489021089934236,0.0800004322658321,0.0899601478014464,0.016111274977975425,0.0,0.07972685928130692,0.0803663285587739,0.6410552537846771,0.6410552537846771,0.702650658681828,0.09531615723953704,0.054448531227468296,0.019166654355282312,0.0,0.08949960930605017,0.12722908220010332,1.088310693010269,1.088310693010269,0.2869077398637748,0.007091592086980569,0.008555398978465488,0.000834326606767119,0.0,0.009281091644556996,0.02551283925868418,0.2618342190518268,0.2618342190518268,0.07078337950828861,0.008571060166400482,0.047520350520187236,0.007802921180042124,0.0,0.04208785189993955,0.015322501669042532,0.07600612411394203,0.07600612411394203,0.1359741643591369
