countries,Livestock_prior,Waste_prior,OG_prior,Rice_prior,Coal_prior,Reservoirs_prior,OtherAnth_prior,BiomassBurn_prior,Wetlands_prior,Termites_prior,Seeps_prior,AnthroTotal_prior,Total_prior,UNFCCC_total_prior,Livestock_post,Waste_post,OG_post,Rice_post,Coal_post,Reservoirs_post,OtherAnth_post,BiomassBurn_post,Wetlands_post,Termites_post,Seeps_post,AnthroTotal_post,Total_post,UNFCCC_total_post,A
Bulgaria,0.0743189807025762,0.09665862100606123,0.01122041979529637,0.004318331700693755,0.02689400414084336,0.0057734984167208455,0.07790678050710978,0.0024303865476694047,0.0112614515221117,0.006451719608275872,0.01076173817897036,0.29709063626930154,0.32799593212632894,0.29131713785258073,0.1082163697500568,0.1190659037769084,0.01594056594992602,0.007784107645943715,0.04285414961325496,0.009383691337151088,0.09291695508606845,0.003925511541721741,0.016776719125706118,0.009018995896511766,0.015775901042409522,0.39616174315930947,0.4416588707656586,0.38677805182215835,0.4260287336854715
Burkina Faso,0.5310544567148096,0.07822332180695873,0.0001196179087689007,0.0,0.0,0.022158099015705184,0.07790421988989582,0.0157290169520948,0.29734717562243956,0.05495670010796273,0.0,0.7094597153361382,1.0774926080186353,0.687301616320433,0.3170314600858407,0.0420068870075275,7.51705403681332e-05,0.0,0.0,0.01239708944016693,0.04453361367588585,0.010615594881239669,0.17597721574949055,0.03405838482384271,0.0,0.4160442207497892,0.6366954162043621,0.40364713130962226,0.3407424133349302
Burundi,0.046050004927524084,0.0005096027345312241,7.637724592997916e-06,0.005209037346757571,0.0,0.0,0.043859330303350104,0.0011309023236557281,0.04985230352086351,0.004455695234460112,4.95661404650674e-05,0.09563561303675598,0.1511240802562004,0.09563561303675598,0.04979272067744082,0.0004705489053600821,9.977263973075863e-06,0.004936977792657339,0.0,0.0,0.04821692192652188,0.0013494421400612893,0.050961318395302095,0.004919447449249211,4.321975384701629e-05,0.1034271465659532,0.1607005743044128,0.1034271465659532,0.0760949369252294
Cambodia,0.18679286264255124,0.010242138995204512,0.026134617900399944,0.6836292224249513,0.00034151353174084655,0.11189068498165375,0.053711330279873175,0.17039591523213665,1.161110433555818,0.024132553647892834,0.0007440154576029221,1.0727423707563746,2.4291252886498245,0.960851685774721,0.3153818211320749,0.014614521826535413,0.037701438605770764,1.4756927540152087,0.0003971831638524302,0.06877255308783642,0.08847910912917485,0.2177178322904461,1.8866978015378455,0.02985093398928691,0.0008973318404962969,2.001039380960454,4.1362032806185285,1.9322668278726172,0.3721468558728434
Cameroon,0.29489021089934236,0.0800004322658321,0.0899601478014464,0.016111274977975425,0.0,0.07972685928130692,0.0803663285587739,0.1506771346133085,0.454462451975043,0.07405830146491434,0.0005948538005088908,0.6410552537846771,1.3208479956384518,0.5613283945033702,0.702650658681828,0.09531615723953704,0.054448531227468296,0.019166654355282312,0.0,0.08949960930605017,0.12722908220010332,0.2861689319615411,0.6359063644437489,0.16430733318500937,0.0009164133194469051,1.088310693010269,2.1756097359200153,0.9988110837042189,0.1747425532974271
Canada,1.2003140882365508,0.7644835139363343,1.4850331590554653,2.687130302914653e-06,0.04814597178581527,3.1552131906019025,0.05326987007582441,0.01697899156882136,14.493242523046355,0.3065879863492948,0.05977828819973109,6.7064624808221955,21.583050269986398,3.551249290220293,1.335386074067406,0.8519208147178208,1.3829645831082786,7.61251493197732e-07,0.032367014875857344,1.9091988650647007,0.05051049571101256,0.0128585786093926,9.4822217524467,0.34909145879219183,0.05019936661731275,5.56234860879657,15.456719765262168,3.653149743731869,0.8364195750008976
Central African Republic,0.10364197661007284,0.02022009128708366,0.0011242141479162234,1.0711314869507393e-05,0.0,0.0,0.01192430332710449,0.41977230455351733,0.9406865438558744,0.12567271295712193,8.46992625320703e-06,0.1369212966870467,1.6230613279798136,0.1369212966870467,0.12044442918162403,0.026920719545640622,0.001397770493024221,8.923272133569012e-06,0.0,0.0,0.013932104803285736,0.3283625781965424,0.5998586167481843,0.11468356072027364,3.1896815781746176e-06,0.16270394729570817,1.2056118926422867,0.16270394729570817,0.4092809789001446
Chad,0.46445338814023923,0.005011208609868126,0.07486944985045645,0.0036406667807172043,0.0,0.0,0.04702224813955289,0.08063057704167435,2.1096542733046073,0.16209954804479929,0.0008721389359609937,0.5949969615208339,2.948253498847876,0.5949969615208339,1.430193473163918,0.004967996132358477,0.07844741007028942,0.0016225630835567356,0.0,0.0,0.08921506415102877,0.05108935664084759,1.4576484123756004,0.5616432552871496,0.0008834349765073622,1.6044465066011515,3.6757109658812563,1.6044465066011515,0.6843530121219303
Chile,0.2304775699849109,0.288786699939583,0.036970585574901134,0.007737297098931909,0.0003365017653137348,0.02844855721197562,0.04020117509786532,0.09328151224367838,0.8380074298583637,0.08757246065271022,0.009125269547340482,0.6329583866734817,1.6609450589755745,0.6045098294615061,0.09532188752771574,0.17914901739939076,0.02582582143145944,0.0055982492415837005,0.0003007962006831476,0.013618983569094861,0.025512114617819284,0.04163859112744439,0.6005111385323272,0.044852742079621796,0.006436419919064095,0.3453268699877469,1.0387657616462045,0.33170788641865206,0.3769765838325758
China,13.021686883201093,6.642933672070988,1.2051963930486014,8.887857919320435,21.162468460904787,3.140566632667268,4.302593379355065,0.18688273481725803,4.450085786714415,0.699083063304458,0.05522925479174931,58.36330334056824,63.75458418019612,55.22273670790097,12.080447084733342,8.630240670187604,3.366444070391795,10.013735585275622,14.000304983583396,4.116685210160752,6.323432934809541,0.2656611149057842,8.278368137205026,1.5456713364168781,0.15200373723485716,58.53129053914205,68.77299486490459,54.414605328981295,0.9880656561163644
Colombia,1.5780420705013336,0.7022433114079826,0.25007476873008055,0.0,0.20200176989265167,0.12490191425842473,0.06450242040064276,0.04515023608892444,4.717754332966988,0.18730613723185563,0.01843900565385926,2.921766255191116,7.890415967132744,2.796864340932691,2.4885592663510105,1.6943290461016578,1.0069708751939002,0.0,0.3167508013728391,0.14093583580048452,0.16521441719700625,0.14584725934861065,5.0107669227946845,0.42999831772894204,0.06751692346263405,5.812760242016899,11.466889665351768,5.671824406216414,0.5906845530395244
